,year,number
0,1972,23
1,1973,34
2,1974,43
3,1975,52
4,1976,42
5,1977,50
6,1978,41
7,1980,44
8,1982,55
9,1983,60
10,1984,39
11,1985,55
12,1986,47
13,1987,58
14,1988,45
15,1989,50
16,1990,33
